Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
0,1.0,1.0,0.450565459777283,0.125,0.0,0.36814570743360975,1.0
1,0.0,0.0,0.5635049628108479,0.125,0.0,0.6150876604606529,0.0
1,1.0,0.0,0.48398492157353723,0.0,0.0,0.43828637974458046,1.0
1,0.0,0.0,0.5461549750624424,0.125,0.0,0.5951117782251508,1.0
0,1.0,1.0,0.5461549750624424,0.0,0.0,0.4483469373725304,1.0
0,1.0,1.0,,0.0,0.0,0.45713454434060097,0.5
0,0.0,1.0,0.6462699067792277,0.0,0.0,0.5893723924921064,1.0
0,1.0,1.0,0.31321930524371544,0.375,0.16666666666666666,0.5236656813522597,1.0
1,1.0,0.0,0.4903222603754447,0.0,0.3333333333333333,0.4783210927660373,1.0
1,0.5,0.0,0.3784950149820745,0.125,0.0,0.5616233550458076,0.0
1,1.0,0.0,0.3400180783317568,0.125,0.16666666666666666,0.5133270005850489,1.0
1,0.0,0.0,0.6660784882775902,0.0,0.0,0.5477878099218253,1.0
0,1.0,1.0,0.43191636385030885,0.0,0.0,0.4483469373725304,1.0
0,1.0,1.0,0.5683943213256837,0.125,0.8333333333333333,0.5665407176699173,1.0
0,1.0,0.0,0.3784950149820745,0.0,0.0,0.4167698439704556,1.0
1,0.5,0.0,0.6527380875240476,0.0,0.0,0.5105043370132916,1.0
0,1.0,1.0,0.31321930524371544,0.5,0.16666666666666666,0.5573255055537766,0.5
1,0.5,1.0,,0.0,0.0,0.4895936900036676,1.0
0,1.0,0.0,0.5211836891200355,0.125,0.0,0.5147917997571257,1.0
1,1.0,0.0,,0.0,0.0,0.3464032120058173,0.0
0,0.5,1.0,0.5461549750624424,0.0,0.0,0.5373931885097546,1.0
1,0.5,1.0,0.5394862107510237,0.0,0.0,0.4895936900036676,1.0
1,1.0,0.0,0.38317906865728846,0.0,0.0,0.4412802561987361,0.5
1,0.0,1.0,0.49734276888738427,0.0,0.0,0.5744411836158962,1.0
0,1.0,0.0,0.35959697528833057,0.375,0.16666666666666666,0.5236656813522597,1.0
1,1.0,0.0,0.5635049628108479,0.125,0.8333333333333333,0.5683943213256838,1.0
0,1.0,1.0,,0.0,0.0,0.3464032120058173,0.0
0,0.0,1.0,0.4232560095587681,0.375,0.3333333333333333,0.7476408695413723,1.0
1,1.0,0.0,,0.0,0.0,0.42022887813169896,0.5
0,1.0,1.0,,0.0,0.0,0.42845836148554584,1.0
0,0.0,1.0,0.5747675236527549,0.0,0.0,0.5513742636740908,0.0
1,0.0,0.0,,0.125,0.0,0.6765078074468676,0.0
1,1.0,0.0,,0.0,0.0,0.39492446436253303,0.5
0,0.5,1.0,0.7244804480296093,0.0,0.0,0.4740870124718861,1.0
0,0.0,1.0,0.49734276888738427,0.125,0.0,0.6350166209398078,0.0
0,0.0,1.0,0.5846442367504481,0.125,0.0,0.5916289642426651,1.0
1,1.0,1.0,,0.0,0.0,0.3574588034684496,0.0
0,1.0,1.0,0.4406421050138048,0.0,0.0,0.4483469373725304,1.0
0,1.0,0.0,0.4106276074984845,0.25,0.0,0.5147917997571257,1.0
1,1.0,0.0,0.3784950149820745,0.125,0.0,0.4788163108705553,0.0
0,1.0,0.0,0.5747675236527549,0.125,0.0,0.46493965438866486,1.0
0,0.5,0.0,0.4903222603754447,0.125,0.0,0.5221747008933499,1.0
0,1.0,1.0,,0.0,0.0,0.42845836148554584,0.0
1,0.5,0.0,0.3282764692216502,0.125,0.3333333333333333,0.5828794417891092,0.0
1,1.0,0.0,0.4232560095587681,0.0,0.0,0.42022887813169896,0.5
0,1.0,1.0,,0.0,0.0,0.4483469373725304,1.0
0,1.0,1.0,,0.125,0.0,0.5067685847733391,0.5
1,1.0,0.0,,0.0,0.0,0.39492446436253303,0.5
0,1.0,1.0,,0.25,0.0,0.524505541988421,0.0
0,1.0,0.0,0.4106276074984845,0.125,0.0,0.5143031687425621,1.0
0,1.0,1.0,0.35599324227042795,0.5,0.16666666666666666,0.5807978374617785,1.0
0,1.0,1.0,0.4406421050138048,0.0,0.0,0.41323668377670053,1.0
1,0.0,0.0,0.6193881876825791,0.125,0.0,0.6209702814681355,0.0
1,0.5,0.0,0.5058003725529221,0.125,0.0,0.5373931885097546,1.0
0,0.0,1.0,0.7169853311392642,0.0,0.16666666666666666,0.6065653810515507,0.0
1,0.0,1.0,,0.0,0.0,0.5744411836158962,1.0
1,0.5,0.0,0.4406421050138048,0.0,0.0,0.4740870124718861,1.0
0,1.0,1.0,0.5021740067115567,0.0,0.0,0.3574588034684496,0.0
1,0.5,0.0,0.34894368318324626,0.125,0.3333333333333333,0.552772643984155,1.0
0,1.0,1.0,0.37176161702188726,0.625,0.3333333333333333,0.5850006231744665,1.0
0,1.0,1.0,0.450565459777283,0.0,0.0,0.3574588034684496,0.0
1,0.0,0.0,0.5635049628108479,0.0,0.0,0.6324753476211937,1.0
0,0.0,1.0,0.5987240403310208,0.125,0.0,0.6390069538657761,1.0
0,1.0,1.0,0.3400180783317568,0.375,0.3333333333333333,0.5541822734678037,1.0
0,0.0,1.0,,0.0,0.0,0.5513742636740908,0.0
1,1.0,1.0,,0.125,0.16666666666666666,0.5048327479576674,0.0
1,0.5,0.0,0.5058003725529221,0.0,0.0,0.4740870124718861,1.0
0,1.0,1.0,0.4232560095587681,0.0,0.0,0.4556207166226521,1.0
1,1.0,0.0,0.3996249984573158,0.5,0.3333333333333333,0.43828637974458046,1.0
0,1.0,1.0,0.48398492157353723,0.25,0.0,0.4599876370181719,1.0
0,0.5,1.0,0.5274190162439124,0.0,0.0,0.4740870124718861,1.0
0,1.0,0.0,0.3908830808781312,0.625,0.3333333333333333,0.5850006231744665,1.0
0,0.5,1.0,0.4406421050138048,0.0,0.0,0.6173277077533108,1.0
0,1.0,1.0,0.48398492157353723,0.125,0.0,0.49951692650738605,0.0
1,1.0,1.0,0.5274190162439124,0.0,0.0,0.600375001533275,1.0
0,1.0,1.0,0.4768319267563671,0.0,0.0,0.38008805088651243,1.0
0,1.0,1.0,,0.0,0.0,0.42845836148554584,1.0
0,1.0,1.0,,0.0,0.0,0.4483469373725304,1.0
1,0.5,1.0,0.25848483216587004,0.0,0.3333333333333333,0.5563786095199923,1.0
1,1.0,0.0,0.5133270005850489,0.0,0.0,0.4825135405955714,1.0
0,1.0,1.0,0.450565459777283,0.0,0.0,0.46303608177156397,1.0
1,1.0,1.0,0.5058003725529221,0.0,0.0,0.4664848597225169,1.0
1,1.0,0.0,,0.0,0.0,0.4104045934967647,0.5
0,0.0,1.0,0.49734276888738427,0.0,0.0,0.5865462967907404,1.0
1,0.5,0.0,0.3996249984573158,0.0,0.0,0.4740870124718861,1.0
1,1.0,0.0,0.5340289386283543,0.375,0.0,0.50943500827718,1.0
0,1.0,1.0,0.3908830808781312,0.125,0.5,0.5721802927901016,1.0
0,1.0,1.0,,0.0,0.0,0.4483469373725304,1.0
1,0.0,0.0,0.4586669572844901,0.375,0.3333333333333333,0.7476408695413723,1.0
0,1.0,1.0,0.46725377239986554,0.0,0.0,0.4483469373725304,1.0
0,1.0,1.0,0.5058003725529221,0.0,0.0,0.4483469373725304,1.0
0,1.0,1.0,0.43191636385030885,0.0,0.0,0.4167698439704556,1.0
0,0.0,1.0,0.6046378629008248,0.125,0.0,0.6058617298597182,1.0
